Source,Target,Type,Id,Label,timeset,Weight,count
15705,14,Directed,15705>14,,,1,1
25691,14,Directed,25691>14,,,1,1
13626,14,Directed,13626>14,,,1,1
19551,14,Directed,19551>14,,,1,1
20323,14,Directed,20323>14,,,1,1
5990,14,Directed,5990>14,,,1,1
10705,14,Directed,10705>14,,,1,1
13546,14,Directed,13546>14,,,1,1
10936,14,Directed,10936>14,,,1,1
10605,14,Directed,10605>14,,,1,1
15470,14,Directed,15470>14,,,1,1
20464,14,Directed,20464>14,,,1,1
12456,14,Directed,12456>14,,,1,1
10591,14,Directed,10591>14,,,1,1
13171,14,Directed,13171>14,,,1,1
3317,14,Directed,3317>14,,,1,1
12377,14,Directed,12377>14,,,1,1
11967,14,Directed,11967>14,,,1,1
10876,14,Directed,10876>14,,,1,1
20606,14,Directed,20606>14,,,1,1
3605,14,Directed,3605>14,,,1,1
16037,15,Directed,16037>15,,,1,1
6402,18,Directed,6402>18,,,1,6
19075,18,Directed,19075>18,,,1,1
3980,18,Directed,3980>18,,,1,1
12046,18,Directed,12046>18,,,1,1
3599,18,Directed,3599>18,,,1,1
25490,18,Directed,25490>18,,,1,1
3478,18,Directed,3478>18,,,1,1
18072,18,Directed,18072>18,,,1,1
3357,18,Directed,3357>18,,,1,1
14885,18,Directed,14885>18,,,1,1
25766,18,Directed,25766>18,,,1,1
12071,18,Directed,12071>18,,,1,1
810,18,Directed,810>18,,,1,1
3630,18,Directed,3630>18,,,1,1
17968,18,Directed,17968>18,,,1,1
18610,18,Directed,18610>18,,,1,1
5939,18,Directed,5939>18,,,1,1
16094,18,Directed,16094>18,,,1,1
23223,18,Directed,23223>18,,,1,1
10427,18,Directed,10427>18,,,1,1
3777,18,Directed,3777>18,,,1,1
198,18,Directed,198>18,,,1,1
19527,18,Directed,19527>18,,,1,1
4040,18,Directed,4040>18,,,1,1
4041,18,Directed,4041>18,,,1,1
23631,18,Directed,23631>18,,,1,1
13141,18,Directed,13141>18,,,1,1
10455,18,Directed,10455>18,,,1,1
728,18,Directed,728>18,,,1,1
19598,18,Directed,19598>18,,,1,1
15707,18,Directed,15707>18,,,1,1
3596,18,Directed,3596>18,,,1,1
19425,18,Directed,19425>18,,,1,1
3554,18,Directed,3554>18,,,1,1
5990,18,Directed,5990>18,,,1,1
25702,18,Directed,25702>18,,,1,1
20577,18,Directed,20577>18,,,1,1
7913,18,Directed,7913>18,,,1,1
15978,18,Directed,15978>18,,,1,1
5490,18,Directed,5490>18,,,1,1
25972,18,Directed,25972>18,,,1,1
6006,18,Directed,6006>18,,,1,1
8315,18,Directed,8315>18,,,1,1
13546,18,Directed,13546>18,,,1,1
19948,20,Directed,19948>20,,,1,1
15764,21,Directed,15764>21,,,1,1
25878,21,Directed,25878>21,,,1,1
10496,22,Directed,10496>22,,,1,1
18209,22,Directed,18209>22,,,1,1
5926,22,Directed,5926>22,,,1,1
6182,22,Directed,6182>22,,,1,3
3273,22,Directed,3273>22,,,1,1
12563,22,Directed,12563>22,,,1,1
10457,22,Directed,10457>22,,,1,1
20413,22,Directed,20413>22,,,1,1
23365,23,Directed,23365>23,,,1,1
8025,24,Directed,8025>24,,,1,1
8165,24,Directed,8165>24,,,1,1
23392,25,Directed,23392>25,,,1,1
7969,25,Directed,7969>25,,,1,1
3666,25,Directed,3666>25,,,1,1
11027,25,Directed,11027>25,,,1,1
18575,25,Directed,18575>25,,,1,1
14849,30,Directed,14849>30,,,1,1
18821,30,Directed,18821>30,,,1,1
8588,30,Directed,8588>30,,,1,1
20110,30,Directed,20110>30,,,1,1
11024,30,Directed,11024>30,,,1,1
8599,30,Directed,8599>30,,,1,1
15512,30,Directed,15512>30,,,1,1
796,30,Directed,796>30,,,1,2
15013,30,Directed,15013>30,,,1,1
20316,30,Directed,20316>30,,,1,1
23216,30,Directed,23216>30,,,1,1
180,30,Directed,180>30,,,1,1
11070,30,Directed,11070>30,,,1,1
577,30,Directed,577>30,,,1,1
19653,30,Directed,19653>30,,,1,1
11975,30,Directed,11975>30,,,1,1
20304,30,Directed,20304>30,,,1,1
15993,30,Directed,15993>30,,,1,1
13148,30,Directed,13148>30,,,1,1
6497,30,Directed,6497>30,,,1,1
16101,30,Directed,16101>30,,,1,1
18023,30,Directed,18023>30,,,1,1
14952,30,Directed,14952>30,,,1,1
5757,30,Directed,5757>30,,,1,2
10487,30,Directed,10487>30,,,1,1
20729,30,Directed,20729>30,,,1,1
18940,30,Directed,18940>30,,,1,1
20733,30,Directed,20733>30,,,1,1
15487,30,Directed,15487>30,,,1,1
25531,31,Directed,25531>31,,,1,1
17949,31,Directed,17949>31,,,1,1
3741,31,Directed,3741>31,,,1,1
4006,31,Directed,4006>31,,,1,1
11947,31,Directed,11947>31,,,1,1
20317,31,Directed,20317>31,,,1,1
5936,31,Directed,5936>31,,,1,4
25913,31,Directed,25913>31,,,1,1
25659,31,Directed,25659>31,,,1,1
703,31,Directed,703>31,,,1,1
12224,31,Directed,12224>31,,,1,1
11972,31,Directed,11972>31,,,1,1
3397,31,Directed,3397>31,,,1,1
8008,31,Directed,8008>31,,,1,1
3281,31,Directed,3281>31,,,1,1
20701,31,Directed,20701>31,,,1,1
10463,31,Directed,10463>31,,,1,1
224,31,Directed,224>31,,,1,1
5731,31,Directed,5731>31,,,1,1
20305,31,Directed,20305>31,,,1,1
25962,31,Directed,25962>31,,,1,1
5869,31,Directed,5869>31,,,1,1
114,31,Directed,114>31,,,1,1
18931,31,Directed,18931>31,,,1,1
18720,32,Directed,18720>32,,,1,1
3315,32,Directed,3315>32,,,1,1
763,36,Directed,763>36,,,1,1
25972,36,Directed,25972>36,,,1,1
11935,36,Directed,11935>36,,,1,1
13090,39,Directed,13090>39,,,1,1
758,40,Directed,758>40,,,1,1
15570,40,Directed,15570>40,,,1,1
20850,40,Directed,20850>40,,,1,1
12006,40,Directed,12006>40,,,1,1
20125,40,Directed,20125>40,,,1,1
3478,42,Directed,3478>42,,,1,2
25702,42,Directed,25702>42,,,1,1
15441,42,Directed,15441>42,,,1,1
13673,42,Directed,13673>42,,,1,1
588,42,Directed,588>42,,,1,1
11921,42,Directed,11921>42,,,1,1
7666,42,Directed,7666>42,,,1,1
16086,42,Directed,16086>42,,,1,1
4102,44,Directed,4102>44,,,1,2
18191,44,Directed,18191>44,,,1,1
10784,44,Directed,10784>44,,,1,1
18209,44,Directed,18209>44,,,1,1
6306,44,Directed,6306>44,,,1,5
6568,44,Directed,6568>44,,,1,1
18217,44,Directed,18217>44,,,1,1
7980,44,Directed,7980>44,,,1,1
8369,44,Directed,8369>44,,,1,1
19380,44,Directed,19380>44,,,1,1
6069,44,Directed,6069>44,,,1,1
438,44,Directed,438>44,,,1,1
18743,44,Directed,18743>44,,,1,1
3395,44,Directed,3395>44,,,1,1
18884,44,Directed,18884>44,,,1,1
5985,44,Directed,5985>44,,,1,1
20297,44,Directed,20297>44,,,1,1
12235,44,Directed,12235>44,,,1,1
20177,44,Directed,20177>44,,,1,1
5595,44,Directed,5595>44,,,1,1
20833,44,Directed,20833>44,,,1,1
12387,44,Directed,12387>44,,,1,1
20455,44,Directed,20455>44,,,1,1
14952,44,Directed,14952>44,,,1,1
25961,44,Directed,25961>44,,,1,1
11001,44,Directed,11001>44,,,1,1
12073,50,Directed,12073>50,,,1,1
7957,50,Directed,7957>50,,,1,1
12064,52,Directed,12064>52,,,1,1
577,52,Directed,577>52,,,1,1
17966,52,Directed,17966>52,,,1,1
23634,52,Directed,23634>52,,,1,1
8094,52,Directed,8094>52,,,1,1
13151,52,Directed,13151>52,,,1,1
15021,53,Directed,15021>53,,,1,1
12306,53,Directed,12306>53,,,1,1
23443,53,Directed,23443>53,,,1,1
19094,53,Directed,19094>53,,,1,1
3493,53,Directed,3493>53,,,1,1
13735,53,Directed,13735>53,,,1,1
8617,53,Directed,8617>53,,,1,1
5803,53,Directed,5803>53,,,1,1
813,53,Directed,813>53,,,1,1
823,53,Directed,823>53,,,1,1
25532,53,Directed,25532>53,,,1,1
8387,53,Directed,8387>53,,,1,1
4043,53,Directed,4043>53,,,1,2
588,53,Directed,588>53,,,1,1
7885,53,Directed,7885>53,,,1,1
82,53,Directed,82>53,,,1,1
25685,53,Directed,25685>53,,,1,1
271,53,Directed,271>53,,,1,1
6498,53,Directed,6498>53,,,1,1
25709,53,Directed,25709>53,,,1,1
5877,53,Directed,5877>53,,,1,1
6006,53,Directed,6006>53,,,1,4
11004,53,Directed,11004>53,,,1,1
19966,53,Directed,19966>53,,,1,1
12543,53,Directed,12543>53,,,1,1
16105,54,Directed,16105>54,,,1,1
10630,67,Directed,10630>67,,,1,1
7704,67,Directed,7704>67,,,1,1
606,67,Directed,606>67,,,1,1
23589,67,Directed,23589>67,,,1,1
12328,67,Directed,12328>67,,,1,1
5546,67,Directed,5546>67,,,1,1
5803,67,Directed,5803>67,,,1,1
13744,67,Directed,13744>67,,,1,1
7731,67,Directed,7731>67,,,1,1
8414,67,Directed,8414>67,,,1,1
23609,67,Directed,23609>67,,,1,1
3522,67,Directed,3522>67,,,1,1
20163,67,Directed,20163>67,,,1,1
14917,67,Directed,14917>67,,,1,1
7756,67,Directed,7756>67,,,1,1
11979,67,Directed,11979>67,,,1,1
19276,67,Directed,19276>67,,,1,1
15826,67,Directed,15826>67,,,1,1
20568,67,Directed,20568>67,,,1,1
19290,67,Directed,19290>67,,,1,1
8028,67,Directed,8028>67,,,1,1
6110,67,Directed,6110>67,,,1,4
3167,67,Directed,3167>67,,,1,1
480,67,Directed,480>67,,,1,1
13563,67,Directed,13563>67,,,1,1
3709,67,Directed,3709>67,,,1,2
4001,70,Directed,4001>70,,,1,1
19644,70,Directed,19644>70,,,1,1
15441,71,Directed,15441>71,,,1,1
17939,71,Directed,17939>71,,,1,1
3358,71,Directed,3358>71,,,1,1
22956,75,Directed,22956>75,,,1,1
8448,76,Directed,8448>76,,,1,1
3715,76,Directed,3715>76,,,1,1
3158,76,Directed,3158>76,,,1,1
12588,76,Directed,12588>76,,,1,1
652,76,Directed,652>76,,,1,1
25487,76,Directed,25487>76,,,1,1
5959,76,Directed,5959>76,,,1,1
13827,76,Directed,13827>76,,,1,1
8214,76,Directed,8214>76,,,1,1
18072,76,Directed,18072>76,,,1,1
7666,76,Directed,7666>76,,,1,1
20514,76,Directed,20514>76,,,1,1
3577,76,Directed,3577>76,,,1,1
20261,76,Directed,20261>76,,,1,1
8615,76,Directed,8615>76,,,1,1
14407,76,Directed,14407>76,,,1,1
25516,76,Directed,25516>76,,,1,1
16050,76,Directed,16050>76,,,1,1
7982,76,Directed,7982>76,,,1,1
3505,76,Directed,3505>76,,,1,1
25650,76,Directed,25650>76,,,1,1
4019,76,Directed,4019>76,,,1,1
19273,76,Directed,19273>76,,,1,1
20145,76,Directed,20145>76,,,1,1
19386,76,Directed,19386>76,,,1,1
18747,76,Directed,18747>76,,,1,1
15676,76,Directed,15676>76,,,1,1
6077,76,Directed,6077>76,,,1,1
10560,76,Directed,10560>76,,,1,1
3907,76,Directed,3907>76,,,1,1
7926,76,Directed,7926>76,,,1,1
10694,76,Directed,10694>76,,,1,1
25799,76,Directed,25799>76,,,1,1
25740,76,Directed,25740>76,,,1,1
18763,76,Directed,18763>76,,,1,1
7886,76,Directed,7886>76,,,1,1
14415,76,Directed,14415>76,,,1,1
23632,76,Directed,23632>76,,,1,1
6097,76,Directed,6097>76,,,1,1
8398,76,Directed,8398>76,,,1,1
8662,76,Directed,8662>76,,,1,1
3159,76,Directed,3159>76,,,1,1
25689,76,Directed,25689>76,,,1,1
13274,76,Directed,13274>76,,,1,1
6363,76,Directed,6363>76,,,1,1
14430,76,Directed,14430>76,,,1,1
6112,76,Directed,6112>76,,,1,1
20108,76,Directed,20108>76,,,1,1
3301,76,Directed,3301>76,,,1,1
25702,76,Directed,25702>76,,,1,1
10728,76,Directed,10728>76,,,1,1
3946,76,Directed,3946>76,,,1,1
7659,76,Directed,7659>76,,,1,1
4076,76,Directed,4076>76,,,1,2
20846,76,Directed,20846>76,,,1,1
20584,76,Directed,20584>76,,,1,1
6386,76,Directed,6386>76,,,1,7
23723,76,Directed,23723>76,,,1,1
3145,76,Directed,3145>76,,,1,1
10488,76,Directed,10488>76,,,1,1
760,76,Directed,760>76,,,1,1
20606,76,Directed,20606>76,,,1,1
11969,77,Directed,11969>77,,,1,1
20683,77,Directed,20683>77,,,1,1
18209,77,Directed,18209>77,,,1,1
4059,78,Directed,4059>78,,,1,2
113,78,Directed,113>78,,,1,1
20721,78,Directed,20721>78,,,1,1
25485,78,Directed,25485>78,,,1,1
397,78,Directed,397>78,,,1,1
15793,78,Directed,15793>78,,,1,1
11825,78,Directed,11825>78,,,1,1
16025,78,Directed,16025>78,,,1,1
122,78,Directed,122>78,,,1,1
14427,78,Directed,14427>78,,,1,1
14941,78,Directed,14941>78,,,1,1
6293,78,Directed,6293>78,,,1,2
4075,79,Directed,4075>79,,,1,2
3977,79,Directed,3977>79,,,1,1
20627,79,Directed,20627>79,,,1,1
20514,79,Directed,20514>79,,,1,1
13347,79,Directed,13347>79,,,1,1
3624,79,Directed,3624>79,,,1,1
5681,79,Directed,5681>79,,,1,2
306,79,Directed,306>79,,,1,1
13113,79,Directed,13113>79,,,1,1
3643,79,Directed,3643>79,,,1,1
18891,79,Directed,18891>79,,,1,1
210,79,Directed,210>79,,,1,1
7766,79,Directed,7766>79,,,1,1
25943,79,Directed,25943>79,,,1,1
25688,79,Directed,25688>79,,,1,1
15708,79,Directed,15708>79,,,1,1
10717,79,Directed,10717>79,,,1,1
25704,79,Directed,25704>79,,,1,1
12393,79,Directed,12393>79,,,1,1
18539,79,Directed,18539>79,,,1,1
19565,79,Directed,19565>79,,,1,1
14838,79,Directed,14838>79,,,1,1
53,82,Directed,53>82,,,1,1
13698,86,Directed,13698>86,,,1,1
3715,86,Directed,3715>86,,,1,1
12295,86,Directed,12295>86,,,1,1
3723,86,Directed,3723>86,,,1,2
3468,86,Directed,3468>86,,,1,1
19213,86,Directed,19213>86,,,1,1
6542,86,Directed,6542>86,,,1,1
10511,86,Directed,10511>86,,,1,1
5906,86,Directed,5906>86,,,1,1
13827,86,Directed,13827>86,,,1,1
3630,86,Directed,3630>86,,,1,1
6296,86,Directed,6296>86,,,1,7
11929,86,Directed,11929>86,,,1,1
10654,86,Directed,10654>86,,,1,1
14368,86,Directed,14368>86,,,1,1
11937,86,Directed,11937>86,,,1,1
23459,86,Directed,23459>86,,,1,1
5926,86,Directed,5926>86,,,1,1
295,86,Directed,295>86,,,1,1
680,86,Directed,680>86,,,1,1
25513,86,Directed,25513>86,,,1,1
298,86,Directed,298>86,,,1,1
18990,86,Directed,18990>86,,,1,1
19505,86,Directed,19505>86,,,1,1
8627,86,Directed,8627>86,,,1,1
26014,86,Directed,26014>86,,,1,1
23478,86,Directed,23478>86,,,1,1
19639,86,Directed,19639>86,,,1,1
23480,86,Directed,23480>86,,,1,1
20413,86,Directed,20413>86,,,1,1
637,86,Directed,637>86,,,1,1
11968,86,Directed,11968>86,,,1,1
5571,86,Directed,5571>86,,,1,1
